+-----------------------------------------------------------------------------------+-----------+-----------------------+
|                                       name                                        | graduated | per_pupil_expenditure |
| Gateway to College                                                                | 50        | 17581.41              |
| Uxbridge High                                                                     | 87.1      | 17581.41              |
| Lynnfield High                                                                    | 98.8      | 17558.54              |
| Palmer High                                                                       | 95.1      | 17549.4               |
| Bartlett High School                                                              | 65.8      | 17545.84              |
| Boston Green Academy Horace Mann Charter School                                   | 88.5      | 17473.88              |
| Braintree High                                                                    | 95.6      | 17464.59              |
| New Bedford High                                                                  | 84.5      | 17459.84              |
| Trinity Day Academy                                                               | 40        | 17459.84              |
| Whaling City Junior/Senior High School                                            | 22.2      | 17459.84              |
| Belmont High                                                                      | 99.7      | 17450.83              |
| Southwick Regional School                                                         | 93.3      | 17426.11              |
| David Prouty High                                                                 | 90.2      | 17400.14              |
| Carver Middle/High School                                                         | 97.2      | 17398.01              |
| Natick High                                                                       | 96.3      | 17396.77              |
| Walpole High                                                                      | 95.2      | 17395.59              |
| Tahanto Regional High                                                             | 100       | 17386.56              |
| Norton High                                                                       | 95.6      | 17349.52              |
| High School Learning Center                                                       | 75.8      | 17329.75              |
| Lawrence High School                                                              | 83.8      | 17329.75              |
| RISE Academy                                                                      | 48.6      | 17329.75              |
| School for Exceptional Studies                                                    | 33.3      | 17329.75              |
| Hingham High                                                                      | 95.9      | 17319.48              |
| Burncoat Senior High                                                              | 86.4      | 17315.9               |
| Claremont Academy                                                                 | 82.6      | 17315.9               |
| Doherty Memorial High                                                             | 92.5      | 17315.9               |
| North High                                                                        | 87.3      | 17315.9               |
| South High Community                                                              | 86.8      | 17315.9               |
| University Pk Campus School                                                       | 97.4      | 17315.9               |
| Worcester Technical High                                                          | 98.9      | 17315.9               |
| Douglas High School                                                               | 88.3      | 17256.6               |
| Norwell High                                                                      | 99.4      | 17246.65              |
| Chelmsford High                                                                   | 97        | 17193.1               |
| Hopkins Academy                                                                   | 93        | 17172.1               |
| Somerset Berkley Regional High School                                             | 96.6      | 17168.99              |
| North Brookfield High                                                             | 80        | 17162.11              |
| Baystate Academy Charter Public School                                            | 95.9      | 17162.04              |
| Global Learning Charter Public School                                             | 100       | 17159.64              |
| Sutton High School                                                                | 97.6      | 17145.45              |
| Wahconah Regional High                                                            | 97        | 17106.95              |
| Hoosac Valley High School                                                         | 83        | 17090.72              |
| Brockton Champion High School                                                     | 32.3      | 17067.61              |
| Brockton High                                                                     | 83.8      | 17067.61              |
| Edison Academy                                                                    | 69        | 17067.61              |
| Huntington Therapeutic Day School                                                 | 63.6      | 17067.61              |
| Franklin High                                                                     | 96.9      | 17063.18              |
| Westport Middle-High School                                                       | 87.9      | 17050.64              |
| Devens School                                                                     | 12.5      | 17044.47              |
| Everett High                                                                      | 85.1      | 17044.47              |
| Phoenix Academy Public Charter High School, Springfield                           | 6.1       | 17026.37              |
